iter	Passed	Remaining
0	4	487
1	9	451
2	13	443
3	17	427
4	22	433
5	27	431
6	31	421
7	35	407
8	38	392
9	41	371
10	43	353
11	46	338
12	48	324
13	51	313
14	53	303
15	55	288
16	56	275
17	57	263
18	59	252
19	60	242
20	62	234
21	63	226
22	65	218
23	66	210
24	68	204
25	69	197
26	71	192
27	72	186
28	74	181
29	75	176
30	77	171
31	78	167
32	80	162
33	81	158
34	83	154
35	84	150
36	85	146
37	87	142
38	88	138
39	89	134
40	91	131
41	92	127
42	93	124
43	94	120
44	95	116
45	96	113
46	97	110
47	99	107
48	100	104
49	101	101
50	102	98
51	104	96
52	105	93
53	106	90
54	107	88
55	108	85
56	110	83
57	111	80
58	112	78
59	113	75
60	114	73
61	115	71
62	117	68
63	118	66
64	119	64
65	121	62
66	122	60
67	123	58
68	124	55
69	125	53
70	126	51
71	128	49
72	129	47
73	130	45
74	131	43
75	133	42
76	135	40
77	137	38
78	138	36
79	140	35
80	141	33
81	143	31
82	145	29
83	146	27
84	147	26
85	148	24
86	150	22
87	151	20
88	152	18
89	153	17
90	154	15
91	156	13
92	157	11
93	158	10
94	159	8
95	160	6
96	162	5
97	163	3
98	165	1
99	166	0
